BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
5,"","Gotfried15","G{\"o}tzfried, A.","Modernising Official Statistics: A complex challenge","",,,"","3-11",2015,"","","https://link.springer.com/chapter/10.1007%2F978-3-662-44983-7_1","Data Science, Learning by Latent Structures, and Knowledge Discovery","","","Studies in Classification, Data Analysis, and Knowledge Organization","Lausen, B.; Krolak-Schwerdt, S.; B{\"o}hmer, M.","Springer","","","","","","","In Europe, national statistical organisations and Eurostat, the statistical office of the European Union, produce and disseminate official statistics. These organisations come together as partners in the European Statistical System (ESS). This paper describes the ESS, the challenges it faces and the modernisation efforts that have been undertaken based on a redesigned ESS enterprise architecture. It also outlines the probable future direction of the ESS.","","","",""
7,"","AFMMV17","Aprigliano, V.; Foroni, C.; Marcellino, M.; Mazzi, G.; Venditti, F.","A daily indicator of economic growth for the Euro area","International Journal of Computational Economics and Econometrics",7,1-2,"","43-63",2017,"","","http://www.igier.unibocconi.it/files/570.pdf","","","","","","","","","","","","","In this paper, we study alternative methods to construct a daily indicator of growth for the euro area. We aim for an indicator that (i) provides reliable predictions, (ii) can be easily updated at the daily frequency, (iii) gives interpretable signals, and (iv) it is linear. Using a large panel of daily and monthly data for the euro area we explore the performance of two classes of models: bridge and U-MIDAS models, and different forecast combination strategies. Forecasts obtained from U-MIDAS models, combined with the inverse MSE weights, best satisfy the required criteria.","","","",""
7,"","AGKRV15","Agafitei, M.; Gras, F.; Kloek, W.; Reis, F.; V\^aju, S. C.","Measuring output quality for multisource statistics in official statistics: Some directions","Statistical Journal of the IAOS",31,2,"","203-211",2015,"","","https://content.iospress.com/download/statistical-journal-of-the-iaos/sji902?id=statistical-journal-of-the-iaos\%2Fsji902","","","","","","","","","","","","","Many statistical offices have been moving towards an increased use of administrative data sources for statistical purposes, both as a substitute and as a complement to survey data. Moreover, the emergence of big data constitutes a further increase in available sources. As a result, statistical output in official statistics is increasingly based on complex combinations of sources.The quality of such statistics depends on the quality of the primary sources and on the ways they are combined.This paper analyses the appropriateness of the current set of output quality measures for multiple source statistics, it explains the need for improvement and outlines directions for further work. The usual approach for measuring the quality of the statistical output is to assess quality through the measurement of the input and process quality. The paper argues that in multisource production environment this approach is not sufficient. It advocates measuring quality on the basis of the output itself - without analysing the details of the inputs and the production process - and proposes directions for further development.","","","",""
7,"","BGV19","Bikauskaite, A.; G{\"o}tzfried, A.; V{\"o}lfinger, Z.","The EuroGroups Register","Statistika",99,1,"","69-76",2019,"","","https://www.czso.cz/documents/10180/88506450/32019719q1_069.pdf","","","","","","","","","","","","","Globalisation presents significant statistical challenges, particularly for small and open economies in terms of measuring statistical indicators and communicating the results to users. The European Statistical System allocated high priority to the better measuring of globalisation in the statistical processes and output, in business or macro-economic statistics. Some concrete actions were already undertaken such as setting up of the EuroGroups Register of multinational enterprise groups and the putting in place of a so-called Early-warning System for monitoring restructurings of the groups. This paper focuses on the EuroGroups Register (EGR), the central statistical business register of Eurostat and the EU and EFTA countries' statistical authorities. The EGR is part of the EU statistical infrastructure and has been built up to better capture globalisation effects as well as for improving the consistency of national data on enterprise groups 4 .","","","",""
7,"","BLL15","Bautier, P.; Laevaert, C.; Le Goff, B.","Tracking users for a targeted dissemination","Statistika",95,4,"","77-78",2015,"","","https://www.czso.cz/documents/10180/20550319/32019715q4067.pdf","","","","","","","","","","","","","How to build a dissemination and communication strategy in a world where users have easy access to a deluge of data and information from various origins and where IT tools and design standards change so quickly that users behaviour and their expectations are continuously modified? The first challenge of Eurostat is clearly to know what users want: we know our different types of users but we have to identify how they get our data, what they do with our data, how they react to our outputs and which sort of new service they would like us to propose. Translating these needs into a visual dissemination is a new challenge undertaken by Eurostat through a new portal, new mobile apps and new info graphs and basic application as well as increasing the visibility on Google. The objective of this paper is to share Eurostat's experience in identifying user needs and to show how concretely this information has been visually disseminated.","","","",""
7,"","BM09","Bujnowska, A.; Museux, J.-M.","Release of European Union microdata, ESS projects on remote access","Statistical Journal of the IAOS",26,3-4,"","89-94",2009,"","","https://content.iospress.com/download/statistical-journal-of-the-iaos/sji00709?id=statistical-journal-of-the-iaos%2Fsji00709","","","","","","","","","","","","","This paper outlines microdata access methods at the European level, and specifically to data governed by European Union (EU) Regulation 831/2002 or where explicit approval of the EU Members is given on the access to particular datasets via Eurostat safe centre. Access to EU microdata for research purposes was enabled in 2002 when the Commission Regulation (EC) No 831/2002 came into force. Since then more than 100 contracts have been signed each year with research organisations for the provision of microdata for scientific purposes. The current Regulation foresees two ways of access to microdata: access to anonymised microdata files, and access to confidential data in the safe centre in Eurostat premises in Luxembourg. The first part of the paper outlines the legal framework at the EU level. The second part discusses the different modes and conditions of access as well as practical issues related to access to microdata in general. The final part provides an overview of the projects currently carried out in the domain of remote access at the European level. The situation with regards to the access to EU microdata will evolve in the near future with the new regulatory framework and subsequent changes in the governance structure for statistical confidentiality in the European Statistical System.","","","",""
7,"","BMKMP17","Buono, D.; Mazzi, G. L.; Kapetanios, G.; Marcellino, M.; Papailias, F.","Big data types for macroeconomic nowcasting","Eurostat Review on National Accounts and Macroeconomic Indicators (EURONA)",1,,"","67-77",2017,"","","https://ec.europa.eu/eurostat/cros/system/files/euronaissue1-2017-art4.pdf","","","","","","","","","","","","","In this paper we present a detailed discussion on various types of big data which can be useful in macroeconomic nowcasting. In particular, we review the big data sources, availability, specific characteristics and their use in the literature. We conclude this paper identifying the big data types which could be adopted for real applications.","","","",""
7,"","BSEMA17","Brandmueller, T.; Sch{\"a}fer, G.; Ekkehard, P.; M{\"u}ller, O.; Angelova-Tosheva, V.","Territorial indicators for policy purposes: NUTS regions and beyond","Regional Statistics",7,1,"","78-89",2017,"","","http://www.ksh.hu/docs/hun/xftp/terstat/2017/rs070105.pdf","","","","","","","","","","","","","Regional statistics, along with the NUTS (Nomenclature des Unités Territoriales Statistiques, or Nomenclature of Territo-rial Units for Statistics) classification, al-ready have a solid tradition. They have developed into a very useful tool for de-tailed analyses and have become the basis for important decisions in the allocation of EU funding. Gradually, the scope of regional statistics has widened, and re-gional statistics now play a role in several statistical domains with a wide range of statistical indicators. The recognition that many of the social and economic issues Europe faces today have urban or rural characteristics has led to an initiative to supplement statistical da-ta on NUTS regions with data on cities and rural areas. These sub-national statistics allow policy makers to better target their policies. For example, in some parts of Eu-rope, poverty and social exclusion are clear-ly an urban problem, while in other areas they are primarily a rural problem. A further aspect that has gained considera-ble importance in territorial policy making - as well as in public awareness - concerns the so-called functional regions, which are selected or constructed from more detailed geographical units according to specific features. The labour market area is one ex-ample of this type of functional delinea-tion, which helps to shed light on im-portant territorial characteristics. The fast-growing use of geographic in-formation and new technical facilities has created possibilities for merging statistics and related geographical information into so-called spatial statistics. An example is grid-based population data, which helps to determine the concrete locations of peo-ple with access to certain facilities (e.g. public transport, airports) or to identify a population close to the sea. Through the intensive use of map-related functions, the utility of regional and urban statistics can also be enhanced, and different statistics can be combined. This paper argues that different sub-national statistics offer different but inter-related perspectives. They can be com-bined in multiple ways to create new pos-sibilities for policy analysis and to illus-trate social and economic characteristics at varying levels of geographic detail.","","","",""
7,"","DM13","Defays, D.; Museux, J.-M.","Discussion","Journal of Official Statistics",29,1,"","147-155",2013,"","","https://content.sciendo.com/view/journals/jos/29/1/article-p147.xml","","","","","","","","","","","","","This discussion draws mainly on four contributions in this special issue (those of Statistics New Zealand, NASS, RTI International and Statistics Netherlands) that report on experiences in integrating statistical production systems with a direct focus on industrialisation and integration-related issues. The framework proposed by Eltinge et al. for the integration of architecture and methodology is also taken on board. The article on the Real-Time Online Analytic System (Westat/NCHS) is marginally integrated into the discussion on data access.","","","",""
7,"","HMKK17","Hamadeh, N.; Mouyelo-Katoula, M.; Konijn, P.; Koechlin, F.","Purchasing power parities of currencies and real expenditures from the international comparison program: Recent results and uses","Social Indicators Research",131,1,"","23-42",2017,"","","https://link.springer.com/content/pdf/10.1007%2Fs11205-015-1215-z.pdf","","","","","","","","","","","","","The International Comparison Program (ICP) is a worldwide statistical initiative designed to estimate purchasing power parities (PPPs) that can be used as currency converters to compare the performance of countries around the world, thereby providing in-depth views of the distribution of resources worldwide. The 2011 round of the ICP was leveraged on the successful outcome of the 2005 round that included 146 countries, introducing various methodological improvements. The summary report and results from the 2011 round were released in April 2014 and provided PPPs, price levels indices, and expenditures in PPP terms for the GDP and major aggregates for 199 participating countries. More detailed results were released in June 2014 and a final comprehensive report in October 2014. The final report provided a more in-depth analysis of volume and per capita indices. The results stirred a strong debate among the user community because of their finding that the world has become more equal than previously thought. The purpose of this paper is to provide an overview of the main results and findings of ICP 2011, its governance framework and partnership with the Eurostat-Organization for Economic Co-operation and Development (OECD) PPP program, and the major methodological innovations that were implemented. The paper reviews the major uses of the PPPs generated by the ICP 2011 and the Eurostat-OECD PPP program, and concludes with thoughts about the future of the ICP.","","","",""
7,"","HS17","Hagsten, E.; Sabadash, A.","A neglected input to production: The role of ICT-schooled employees in firm performance","International Journal of Manpower",38,3,"","373-391",2017,"","","https://www.emerald.com/insight/content/doi/10.1108/IJM-05-2015-0073/full/pdf?title=a-neglected-input-to-production-the-role-of-ict-schooled-employees-in-firm-performance","","","","","","","","","","","","","The purpose of this paper is to broaden the perspective on how information and communication technology (ICT) relates to productivity by introducing a novel ICT variable: the share of ICT-schooled employees in firms, an intangible input often neglected or difficult to measure.","","","",""
7,"","HZFP16","Haldorson, M.; Zaccheddu, P.-G.; Fohgrub, B.; Petri, E.","Geospatial information management in Europe \textendash Responding to the user needs","Statistical Journal of the IAOS",32,4,"","481-487",2016,"","","https://content.iospress.com/download/statistical-journal-of-the-iaos/sji1010?id=statistical-journal-of-the-iaos%2Fsji1010","","","","","","","","","","","","","The United Nations initiative on Global Geospatial Information Management (UN-GGIM) aims at playing a leading role in setting the agenda for the development of global geospatial information and to promote its use to address key global challenges like the UN Sustainable Development Goals. The regional committee UN-GGIM: Europe was established in October 2014 and by October 2015, at its second plenary meeting, recommendations were adopted on better integration of geospatial and statistical information in order to foster further usage. The recommendations can be found in a report titled ''Definition of the priority user needs for combinations of data''. This article reflects the main content of the report: identifying relevant policies, collecting use cases, describing and responding to user needs and finally making recommendations on how to improve the integration of statistical and geospatial information. The most strategic recommendation is that Europe should aim for a European Spatial Data Strategy. Other recommendations deal with priority data for a Statistical Geospatial Framework and support the improvement of workflows with geospatial technology.","","","",""
7,"","IBB15","Infante, E.; Buono, D.; Buono, A.","A 3-way ANOVA a priori test for common seasonal patterns and its application to direct versus indirect methods","Eurostat Review on National Accounts and Macroeconomic Indicators (EURONA)",1,,"","93-145",2015,"","","https://ec.europa.eu/eurostat/cros/system/files/05y-newanova_techsav_dtp_final.pdf","","","","","","","","","","","","","In this paper we propose a new a priori test to be used for the identification of a common seasonal pattern. The test is applied a priori to any running of a seasonal adjustment procedure. The test is a three way ANOVA, where the three factors are the series, the time frequency and the year. One of the possible applications of using such a test would be when selecting either the direct or indirect approach when seasonally adjusting. The Seasonally Adjusted series of an aggregate can be obtained by seasonal adjusting it (direct approach) or by aggregating the seasonally adjusted individual series (indirect approach). It should be noted that, to date, the literature has been mainly focusing on an a posteriori comparison among the results achieved by applying different approaches. This paper seeks to set out an a priori strategy for the identification of the most effective seasonal adjustment of the aggregate.","","","",""
7,"","IMZKPRS16","Ioannidis, E.; Merkouris, T.; Zhang, L.-C.; Karlberg, M.; Petrakos, M.; Reis, F.; Stavropoulos, P.","On a modular approach to the design of integrated social surveys","Journal of Official Statistics",32,2,"","259-286",2016,"","","https://content.sciendo.com/view/journals/jos/32/2/article-p259.xml","","","","","","","","","","","","","This article considers a modular approach to the design of integrated social surveys. The approach consists of grouping variables into ‘modules’, each of which is then allocated to one or more ‘instruments’. Each instrument is then administered to a random sample of population units, and each sample unit responds to all modules of the instrument. This approach offers a way of designing a system of integrated social surveys that balances the need to limit the cost and the need to obtain sufficient information. The allocation of the modules to instruments draws on the methodology of split questionnaire designs. The composition of the instruments, that is, how the modules are allocated to instruments, and the corresponding sample sizes are obtained as a solution to an optimisation problem. This optimisation involves minimisation of respondent burden and data collection cost, while respecting certain design constraints usually encountered in practice. These constraints may include, for example, the level of precision required and dependencies between the variables. We propose using a random search algorithm to find approximate optimal solutions to this problem. The algorithm is proved to fulfil conditions that ensure convergence to the global optimum and can also produce an efficient design for a split questionnaire.","","","",""
7,"","Karlberg16","Karlberg, M.","Reviewers should ask the right questions \textendash But is InfoQ the answer?","Statistical Journal of the IAOS",32,1,"","29-31",2016,"","","https://content.iospress.com/download/statistical-journal-of-the-iaos/sji980?id=statistical-journal-of-the-iaos%2Fsji980","","","","","","","","","","","","","Kenett and Shmueli rightly note that statisticiansin academia, industry (and the public sector for that matter!) are regularly reviewing papers for journals without a general framework to help them guide the review process, meaning that "it is typically left to the reviewer's experience and good sense to determine the contribution of a paper". The inevitable consequence is indeed that the review process "is usually carriedout in an unstructured way with inherent variability between reviewers".To remedy this regrettable state of affairs, the authors propose that a set of items based on the InfoQ framework be adopted in the reviewing process of applied journals. This discussion paper which reflects on their proposal, starts by identifying possible actions complementary to a reviewing framework in Section 2. Thereafter, the applicability of the proposed framework is discussed in Section 3, while Section 4 contains some concluding remarks.","","","",""
7,"","KKLS17","Koechlin, F.; Konijn, P.; Lorenzoni, L.; Schreyer, P.","Comparing hospitals and health prices and volumes across countries: A new approach","Social Indicators Research",131,1,"","43-64",2017,"","","https://link.springer.com/content/pdf/10.1007%2Fs11205-015-1196-y.pdf","","","","","","","","","","","","","Health services are among the most comparison-resistant services in international comparisons such as the Eurostat–OECD Purchasing Power Parities (PPP) program and the ICP. Traditionally, PPPs for health services are estimated on the basis of input methods, e.g. by comparing salaries of doctors and nurses. This mainly reflects the difficulties inherent in measuring the output of services produced by nonmarket producers. Since 2007, OECD and Eurostat have undertaken work, with their Member States, to develop explicit output-based measures of prices and volumes of hospital services directed at comparisons across countries. The approach is based on collecting quasi-prices for a basket of comparable and representative medical and surgical hospital services. Eurostat and OECD used the new approach for the first time in their PPP calculations that entered the 2011 ICP benchmark round. The paper describes the output-based approach, the way it was developed and tested to assess its feasibility, and the results based on the latest data collection.","","","",""
7,"","KRCG15","Karlberg, M.; Reis, F.; Calizzani, C.; Gras, F.","A toolbox for a modular design and pooled analysis of sample survey programmes","Statistical Journal of the IAOS",31,3,"","447-462",2015,"","","https://content.iospress.com/download/statistical-journal-of-the-iaos/sji913?id=statistical-journal-of-the-iaos%2Fsji913","","","","","","","","","","","","","This paper presents key methodological results from a project on streamlining and integrating sample survey programmes. More specifically, it: Proposes a general modular framework and integrated survey systems (in concrete terms, i.e. with a specific set of surveys as the point of departure); Presents a toolbox (covering estimation, sample allocation and instrument composition) to deal with the methodological challenges associated with such integrated systems; and Indicates possible steps to upgrade statistical production systems from a collection of uncoordinated surveys to a harmonised integrated system of surveys. A concrete application of the 'instrument composition' part of the toolbox demonstrates how the EU Labour Force Survey, the EU Survey on Income and Living Conditions and the EU Adult Education Survey could be combined so as to improve flexibility (responding to new user needs), efficiency (greater precision or reduced costs) and transversality (capacity to combine variables from different statistical domains).","","","",""
7,"","Liotti18","Liotti, A.","Experiences in application of the European Statistical System Business Registers recommendations manual","Statistical Journal of the IAOS",34,3,"","313-316",2018,"","","https://content.iospress.com/download/statistical-journal-of-the-iaos/sji170401?id=statistical-journal-of-the-iaos%2Fsji170401","","","","","","","","","","","","","he main objectives of the Manual are: To provide guidelines for implementation of the EU Regulation; To support the harmonisation between the registers in the various Member States; To explain the Regulation's provisions. A recent survey has established that the statisticians in the European Statistical System dealing with the maintenance and development of national Statistical Business Registers find useful that they can find in the Manual the information necessary to allow the correct and consistent interpretation of the Regulation and recommendations on best practices of various countries in building and operating registers and in treatment of special cases. Users also appreciate that each chapter is capable of being read separately, whilst still forming part of a coherent set. The EU Regulation also legislates on the exchange of confidential data. This was the pillar on which was built the EuroGroups Register of multinational enterprise groups, managed by Eurostat with the participation of all European countries. A revision of the Manual will be necessary, in order to take on board the provisions of the upcoming new Regulation, as well as some new recommendations originated by the on-going Data Quality Programme for the Statistical Business Registers in the European Statistical System.","","","",""
7,"","PBS17","Pantea, S.; Biagi, F.; Sabadash, A.","Are ICT displacing workers in the short run? Evidence from seven European countries","Information Economics and Policy",39,,"","36-44",2017,"","","https://www.sciencedirect.com/science/article/pii/S0167624516301615","","","","","","","","","","","","","This paper examines the short run labour substitution effects of using ICT at firm-level in the manufacturing and services sectors in seven European countries, during the period 2007–2010. The data come from a unique dataset provided by the ESSLait Project on Linking Microdata, which contains internationally comparable data based on the production statistics linked at firm level with the novel ICT usage indicators. We adopt a standard conditional labour demand model and control for unobservable time-invariant firm-specific effects. The results show that ICT use has a statistically insignificant labour substitution effect and this effect is robust across countries, sectors and measures of ICT use. Our findings suggest that increased use of ICT within firms does not reduce the numbers of workers they employ.","","","",""
7,"","PMM17","Proietti, T.; Marczak, M.; Mazzi, G.","Euromind-D: A density estimate of monthly Gross Domestic Product for the Euro area","Journal of Applied Econometrics",32,3,"","683-703",2017,"","","https://onlinelibrary.wiley.com/doi/pdf/10.1002/jae.2556","","","","","","","","","","","","","EuroMInd-D is a density estimate of monthly gross domestic product (GDP) constructed according to a bottom-up approach, pooling the density estimates of 11 GDP components, by output and expenditure type. The components' density estimates are obtained from a medium-size dynamic factor model handling mixed frequencies of observation and ragged-edged data structures. They reflect both parameter and filtering uncertainty and are obtained by implementing a bootstrap algorithm for simulating from the distribution of the maximum likelihood estimators of the model parameters, and conditional simulation filters for simulating from the predictive distribution of GDP. Both algorithms process the data sequentially as they become available in real time. The GDP density estimates for the output and expenditure approach are combined using alternative weighting schemes and evaluated with different tests based on the probability integral transform and by applying scoring rules.","","","",""
7,"","Radermacher15","Radermacher, W. J.","Recent and future developments related to "GDP and Beyond"","Review of Income and Wealth",61,1,"","18-24",2015,"","","https://onlinelibrary.wiley.com/doi/full/10.1111/roiw.12135","","","","","","","","","","","","","Progress of societies? Well-being of citizens? Trans-generational impact of policies? To answer such fundamental questions and much more, the European Commission published, in August 2009, its Communication on "GDP and Beyond: Measuring Progress in a Changing World." Through a co-operative project, co-chaired by Eurostat and INSEE (France), the ESS acted decisively and established an action plan to be carried out by 2020 in the context of the European Statistical Programme. This plan which also builds on Eurostat's work on Sustainable Development Indicators. For most of these actions, work has either been accomplished or is in good progress. Further challenges lie ahead, including reconciling macro- and micro-data sources on household economic resources and completing the indicators set on Quality-of-Life. The work will also contribute to the global efforts on the Sustainable Development Goals/post-2015 development agenda.","","","",""
7,"","RBB15","Ruggeri Cannata, R.; Buono, D.; Biscosi, F.","The Macroeconomic Imbalances Procedure and the scoreboard: Ensuring data coverage","Eurostat Review on National Accounts and Macroeconomic Indicators (EURONA)",2,,"","97-118",2015,"","","https://ec.europa.eu/eurostat/documents/3217494/7114363/KS-GP-15-002-EN-N.pdf","","","","","","","","","","","","","The Macroeconomic Imbalance Procedure (MIP) is a surveillance mechanism that aims to identify potential risks early on, prevent the emergence of harmful macroeconomic imbalances and correct the imbalances that are already in place. It is a system for monitoring economic policies and detecting potential harms to the proper functioning of the economy of a Member State, of the Economic and Monetary Union, and of the European Union as a whole. The MIP is supported by the analysis of a set of headline and auxiliary indicators, whose data coverage can reach twenty years due to data transformations. In order to ensure the necessary time series length for policy makers, statisticians can resort to statistical techniques such as back-calculation. This paper illustrates the MIP in the European Union policy context and some applications of back-calculation to two MIP indicators.","","","",""
7,"","RRB18","Rueda-Cantuche, J. M.; R\'emond-Tiedrez, I.; Bouwmeester, M. C.","Institutionalization of inter-country input-output tables: Working towards harmonization and standardization","Journal of Industrial Ecology",22,3,"","485-486",2018,"","","https://onlinelibrary.wiley.com/doi/epdf/10.1111/jiec.12761","","","","","","","","","","","","","Effective policy to encourage sustainable production and consumption is needed to shape the future so that our impact stays in line with the earth's carrying capacity. To design and monitor effective policy, good-quality data are indispensable. Production and consumption are two sides of the same coin, and in today's globalized world, an integrated and consistent inter-country accounting framework that links these two is a necessity for adequate analysis. A better understanding of global value chains starts with capturing production and trade relations in a coherent and complete system. More insight in the environmental impact of consumption requires an integrated environmental-economic accounting framework. Although producers generally are the ones to pay the wages, extract the resources, and emit the greenhouse gases - our productive system is in place to serve our consumer society. More awareness of the impact of consumption, at home and abroad, is needed to change our behaviour and create a sustainable economy.","","","",""
7,"","RRB19","Rueda-Cantuche, J. M.; Amores, A. F.; R\'emond-Tiedrez, I.","Can supply, use and input–output tables be converted to a different classification with aggregate information?","Economic Systems Research",,,"","",2019,"","","https://www.tandfonline.com/doi/full/10.1080/09535314.2019.1655393","","","","","","","","","","","","","Every change in the product and/or industry classifications and/or methodology of supply, use and input-output tables makes any medium- to long-term policy analysis impossible unless appropriate conversions are provided by national statistical institutes using more detailed data. However, can these tables be reasonably converted to a different classification of industries and products using aggregate information? We develop a conversion method that allows changes in classification that are independent of the number of industries and products. In addition, we provide evidence about its empirical performance compared with projection methods. We find projection methods perform better than conversion methods, at least when using aggregate information. Nonetheless, unlike conversion methods, projection methods generally require supply, use and input/output tables in the new classification that might not always be available. In their absence, we recommend using more detailed and sophisticated data.","","","",""
7,"","RRBB17","Rueda-Cantuche, J. M.; Amores, A. F.; Beutel, J.; R\'emond-Tiedrez, I.","Assessment of European use tables at basic prices and valuation matrices in the absence of official data","Economic Systems Research",30,2,"","252-270",2017,"","","https://www.tandfonline.com/doi/full/10.1080/09535314.2017.1372370","","","","","","","","","","","","","Input-Output modellers are often faced with the task of estimating missing Use tables at basic prices and also valuation matrices of the individual countries. This paper examines a selection of estimation methods applied to the European context where the analysts are not in possession of superior data. The estimation methods are restricted to the use of automated methods that would require more than just the row and column sums of the tables (as in projections) but less than a combination of various conflicting information (as in compilation). The results are assessed against the official Supply, Use and Input-Output tables of Belgium, Germany, Italy, Netherlands, Finland, Austria and Slovakia by using matrix difference metrics. The main conclusion is that using the structures of previous years usually performs better than any other approach.","","","",""
7,"","RWGRS19","Ricciato, F.; Wirthmann, A.; Giannakouris, K.; Reis, F.; Skaliotis, M.","Trusted smart statistics: Motivations and principles","Statistical Journal of the IAOS",35,4,"","589-603",2019,"","","https://content.iospress.com/articles/statistical-journal-of-the-iaos/sji190584","","","","","","","","","","","","","In this contribution we outline the concept of Trusted Smart Statistics as the natural evolution of official statistics in the new datafied world. Traditional data sources, namely survey and administrative data, represent nowadays a valuable but small portion of the global data stock, much thereof being held in the private sector. The availability of new data sources is only one aspect of the global change that concerns official statistics. Other aspects, more subtle but not less important, include the changes in perceptions, expectations, behaviours and relations between the stakeholders. The environment around official statistics has changed: statistical offices are not any more data monopolists, but one prominent species among many others in a larger (and complex) ecosystem. What was established in the traditional world of legacy data sources (in terms of regulations, technologies, practices, etc.) is not guaranteed to be sufficient any more with new data sources. Trusted Smart Statistics is not about replacing existing sources and processes, but augmenting them with new ones. Such augmentation however will not be only incremental: the path towards Trusted Smart Statistics is not about tweaking some components of the legacy system but about building an entirely new system that will coexist with the legacy one. In this position paper we outline some key design principles for the new Trusted Smart Statistics system. Taken collectively they picture a system where the smart and trust aspects enable and reinforce each other. A system that is more extrovert towards external stakeholders (citizens, private companies, public authorities) with whom Statistical Offices will be sharing computation, control, code, logs and of course final statistics, without necessarily sharing the raw input data. ","","","",""
7,"","SLM19","Sanz, A. F.; Luhmann, S.; Moraleda, A. G.","Official Statistics through the eyes of students and teachers \textendash The European Statistics Competition","AStA Wirtschafts- und Sozialstatistisches Archiv",13,,"","245-255",2019,"","","https://link.springer.com/content/pdf/10.1007\%2Fs11943-019-00249-5.pdf","","","","","","","","","","","","","","","","",""
7,"","SSEO19","Sutcliffe, L. M. E.; Schraml, A.; Eiselt, B.; Oppermann, R.","The LUCAS grassland module pilot \textendash Qualitative monitoring of grassland in Europe","Palaearctic Grasslands",40,,"","27-31",2019,"","","https://edgg.org/sites/default/files/page/Palaearctic_Grasslands_40_0.pdf","","","","","","","","","","","","","The Land Use/Cover Area-Frame  Survey (LUCAS) is a European inventory carried out every three years and coordinated by Eurostat. It aims to provide information for policy and science on land use, land cover and environmental parameters by surveying a statistically representative sample of points spread across the EU countries. In 2018, a new grassland module was piloted within the survey. This pilot aims to collect detailed information on the environmental and ecological quality of the grassland, as well as its type and intensity of use.  Between  April  and  July  2018,  3734  grassland  points  in  26  countries  were  surveyed  using  this standardised  methodology.  Of these points,  747  underwent  an  additional  quality  control  to  check  the  accuracy  of  the  survey  method.  This  is  the  first  time  a  standardised methodology  has  been  used  to  collect  ecological  data  on  grasslands  in  a  coordinated  manner  over  so  wide  a  geographical  range in Europe.  The  analysis  of  the  data from  this survey  is  ongoing,  so  the  purpose  of  this  article  is  to  briefly  describe  the  method  used  in  the new grassland module and inform readers about how this pilot was developed.","","","",""
7,"","VRPS18","Vanhoof, M.; Reis, F.; Ploetz, T.; Smoreda, Z.","Assessing the quality of home detection from mobile phone data for official statistics","Journal of Official Statistics",34,4,"","935-960",2018,"","","https://content.sciendo.com/view/journals/jos/34/4/article-p935.xml","","","","","","","","","","","","","Mobile phone data are an interesting new data source for official statistics. However, multiple problems and uncertainties need to be solved before these data can inform, support or even become an integral part of statistical production processes. In this article, we focus on arguably the most important problem hindering the application of mobile phone data in official statistics: Detecting home locations. We argue that current efforts to detect home locations suffer from a blind deployment of criteria to define a place of residence and from limited validation possibilities. We support our argument by analysing the performance of five home detection algorithms (HDAs) that have been applied to a large, French, Call Detailed Record (CDR) data set (~18 million users, five months). Our results show that criteria choice in HDAs influences the detection of home locations for up to about 40% of users, that HDAs perform poorly when compared with a validation data set (resulting in 358-gap), and that their performance is sensitive to the time period and the duration of observation. Based on our findings and experiences, we offer several recommendations for official statistics. If adopted, our recommendations would help ensure more reliable use of mobile phone data vis-à-vis official statistics.","","","",""
7,"","Wirthmann16","Wirthmann, A.","Big data im Europ\"aischen Statistischen System \textendash Beitrag zur Reaktion des Europ\"aischen Statistischen System auf die big data-Herausforderung","AStA Wirtschafts- und Sozialstatistisches Archiv",10,2-3,"","151-161",2016,"","","https://link.springer.com/content/pdf/10.1007%2Fs11943-016-0195-z.pdf","","","","","","","","","","","","","Starting with the Scheveningen Memorandum, Eurostat created an internal Task Force “Big Data” that is coordinating the activities of the European Statistical System (ESS) on Big Data. The activities are based on the Big Data Action Plan and Roadmap which was endorsed by the European Statistical System Committee in June 2014. The Action Plan identifies short, medium and long term objectives aiming at integrating big data sources into the production of European Statistics. The BIGD project makes part of the ESS Vision 2020 for modernising European Statistics. Pilots that investigate the potential of selected big data sources for European Statistics constitute the core part of the BIGD project. The pilots are conducted by a consortium of national statistical institutes, so called ESSnets, which are co-financed by the European Commission. The pilots are backed by a number of cross-cutting activities that analyse conditions of using big data by statistical institutes, such as analysis of the legal situation, ethical principles, skills and competences, and communication. The ESSnet started working in 2016, activities will terminate in 2019. The long term objective of the Big Data Action Plan and Roadmap is integrating big data into the portfolio of European Statistics. The ESS is closely collaborating with initiatives at UN level and with data for policy initiatives at the European Commission.","","","",""
